                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.64449,                0.33417,                0.92443,                0.99641,                      1,                  0.995,                0.89859,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                0.64609,                0.33505,                 0.9195,                0.99513,                      1,                  0.995,                0.89869,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                0.64061,                 0.3302,                0.92201,                0.99803,                      1,                  0.995,                0.88851,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.63216,                 0.3258,                0.91058,                0.99905,                      1,                  0.995,                 0.8952,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.64534,                0.33173,                0.91722,                0.99943,                      1,                  0.995,                0.90164,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.61828,                  0.322,                0.90928,                0.99955,                      1,                  0.995,                0.89849,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                0.62896,                0.32158,                0.91535,                0.99933,                      1,                  0.995,                0.90644,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                0.63262,                0.33258,                0.91057,                0.99932,                0.99531,                  0.995,                0.89318,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.60625,                0.32042,                0.90712,                0.99904,                      1,                  0.995,                0.90855,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                0.61323,                0.32169,                0.90973,                 0.9996,                      1,                  0.995,                0.90215,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                0.60632,                 0.3131,                0.90386,                0.99958,                      1,                  0.995,                0.90646,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                0.60966,                0.31871,                 0.9067,                0.99475,                      1,                  0.995,                0.89926,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                0.61539,                0.32083,                0.90336,                0.99914,                      1,                  0.995,                0.89747,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.61126,                0.31407,                0.91149,                0.99993,                      1,                  0.995,                0.90193,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                 0.6136,                0.31847,                0.91126,                      1,                0.99885,                  0.995,                0.90285,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                    152,                0.60821,                 0.3128,                0.91001,                      1,                0.99953,                  0.995,                0.89476,                      0,                    inf,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                 0.5885,                0.30841,                0.90875,                0.99932,                0.99531,                  0.995,                 0.8943,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                    154,                0.60401,                0.30702,                 0.9075,                0.99931,                0.99531,                  0.995,                0.90424,                      0,                    inf,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                0.60114,                0.30691,                0.90843,                      1,                0.99961,                  0.995,                0.89495,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                    156,                0.59522,                0.31117,                0.90804,                0.99969,                      1,                  0.995,                0.90643,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                0.59204,                0.31026,                0.90179,                0.99933,                      1,                  0.995,                 0.8999,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                    158,                0.58553,                0.31121,                0.90574,                0.99933,                      1,                  0.995,                0.89907,                      0,                    inf,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                0.57784,                0.30177,                0.89346,                0.99942,                      1,                  0.995,                0.90293,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                    160,                0.57676,                0.30146,                0.89772,                0.99953,                      1,                  0.995,                0.89823,                      0,                    inf,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                 0.5805,                0.30965,                0.90492,                0.99958,                      1,                  0.995,                0.89361,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    162,                0.59389,                   0.31,                0.90759,                0.99963,                      1,                  0.995,                0.90003,                      0,                    inf,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                0.57418,                0.29926,                0.89987,                      1,                0.99937,                  0.995,                0.89991,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
